"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"14057584","JJ523770","12/14/2025 11:30:00 PM","006XX N LAKE SHORE DR","0890","THEFT","FROM BUILDING","HOTEL / MOTEL","false","false","1834","018","2","8","06","1179792","1904743","2025","12/22/2025 03:42:20 PM","41.893893173","-87.615127644","(41.893893173, -87.615127644)"
"14055909","JJ522503","12/14/2025 11:29:00 PM","095XX S AVENUE M","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0432","004","10","52","08B","1201448","1842442","2025","12/22/2025 03:42:20 PM","41.722412101","-87.537712612","(41.722412101, -87.537712612)"
"14055884","JJ522507","12/14/2025 11:27:00 PM","045XX S PRAIRIE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0215","002","3","38","08B","1178801","1874996","2025","12/22/2025 03:42:20 PM","41.812288171","-87.619675201","(41.812288171, -87.619675201)"
"14055833","JJ522485","12/14/2025 11:14:00 PM","050XX N DAMEN AVE","031A","ROBBERY","ARMED - HANDGUN","RESIDENCE - YARD (FRONT / BACK)","false","false","2032","020","40","4","03","1162088","1933713","2025","12/22/2025 03:42:20 PM","41.973776873","-87.679336703","(41.973776873, -87.679336703)"
"14055825","JJ522489","12/14/2025 11:11:00 PM","067XX S WINCHESTER AVE","0498","BATTERY","AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY","RESIDENCE","true","true","0726","007","16","67","04B","1164518","1859979","2025","12/22/2025 03:42:20 PM","41.771393186","-87.672488467","(41.771393186, -87.672488467)"
"14055922","JJ522499","12/14/2025 11:10:00 PM","024XX N ARTESIAN AVE","1020","ARSON","BY FIRE","STREET","false","false","1431","014","1","22","09","1159621","1916179","2025","12/22/2025 03:42:20 PM","41.925713875","-87.688893311","(41.925713875, -87.688893311)"
"14055887","JJ522550","12/14/2025 11:10:00 PM","009XX W OHARE ST","0810","THEFT","OVER $500","STREET","false","false","1654","016","41","76","06",,,"2025","12/22/2025 03:42:20 PM",,,
"14055831","JJ522487","12/14/2025 11:08:00 PM","060XX N ALBANY AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","2413","024","50","2","08B","1154591","1940233","2025","12/22/2025 03:42:20 PM","41.991821834","-87.706729784","(41.991821834, -87.706729784)"
"14056318","JJ523135","12/14/2025 11:00:00 PM","014XX W WINONA ST","0810","THEFT","OVER $500","STREET","false","false","2033","020","47","3","06","1165453","1934301","2025","12/22/2025 03:42:20 PM","41.975319207","-87.666945947","(41.975319207, -87.666945947)"
"14056008","JJ522688","12/14/2025 11:00:00 PM","059XX W FILLMORE ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1513","015","29","25","07","1136759","1894731","2025","12/22/2025 03:42:20 PM","41.867298614","-87.773415019","(41.867298614, -87.773415019)"
"14060507","JJ522486","12/14/2025 11:00:00 PM","031XX W 54TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0923","009","14","63","08B","1156416","1868655","2025","12/22/2025 03:42:20 PM","41.795368386","-87.7019543","(41.795368386, -87.7019543)"
"14056392","JJ523180","12/14/2025 11:00:00 PM","022XX E 87TH ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","RESIDENCE","false","false","0412","004","8","48","07","1192571","1847728","2025","12/22/2025 03:42:20 PM","41.737137914","-87.570055531","(41.737137914, -87.570055531)"
"14055847","JJ522514","12/14/2025 11:00:00 PM","008XX N SPRINGFIELD AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1112","011","37","23","08B","1150238","1905314","2025","12/22/2025 03:42:20 PM","41.896087613","-87.723655089","(41.896087613, -87.723655089)"
"14055838","JJ522524","12/14/2025 11:00:00 PM","036XX N OTTAWA AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","1631","016","38","17","14","1124437","1923193","2025","12/22/2025 03:42:20 PM","41.94561402","-87.8180242","(41.94561402, -87.8180242)"
"14055898","JJ522527","12/14/2025 11:00:00 PM","002XX E HURON ST","0460","BATTERY","SIMPLE","HOSPITAL BUILDING / GROUNDS","true","false","1834","018","2","8","08B","1178046","1905133","2025","12/22/2025 03:42:20 PM","41.895003278","-87.62152816","(41.895003278, -87.62152816)"
"14055860","JJ522490","12/14/2025 10:58:00 PM","011XX W 80TH ST","4389","OTHER OFFENSE","VIOLATION GPS MONITORING DEVICE","APARTMENT","false","true","0612","006","17","71","26","1170207","1851755","2025","12/22/2025 03:42:20 PM","41.748703624","-87.651873361","(41.748703624, -87.651873361)"
"14055855","JJ522493","12/14/2025 10:53:00 PM","039XX W 25TH ST","0454","BATTERY","AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY","SIDEWALK","true","false","1013","010","22","30","08B","1150274","1887097","2025","12/22/2025 03:42:20 PM","41.846097376","-87.723997821","(41.846097376, -87.723997821)"
"14055835","JJ522480","12/14/2025 10:50:00 PM","007XX S CICERO AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","SIDEWALK","true","true","1533","015","29","25","08B","1144508","1896325","2025","12/22/2025 03:42:20 PM","41.871530533","-87.744926805","(41.871530533, -87.744926805)"
"14055913","JJ522497","12/14/2025 10:50:00 PM","041XX W WELLINGTON AVE","0560","ASSAULT","SIMPLE","STREET","false","true","2523","025","31","21","08A","1148163","1919623","2025","12/22/2025 03:42:20 PM","41.935393103","-87.730907055","(41.935393103, -87.730907055)"
"14055816","JJ522477","12/14/2025 10:47:00 PM","032XX N HALSTED ST","1310","CRIMINAL DAMAGE","TO PROPERTY","STREET","true","false","1924","019","44","6","14","1170348","1921937","2025","12/22/2025 03:42:20 PM","41.941286092","-87.649308375","(41.941286092, -87.649308375)"
"14055906","JJ522481","12/14/2025 10:45:00 PM","087XX S HONORE ST","0620","BURGLARY","UNLAWFUL ENTRY","RESIDENCE","false","true","2221","022","18","71","05","1165539","1846695","2025","12/22/2025 03:42:20 PM","41.734918417","-87.669121755","(41.734918417, -87.669121755)"
